authors,citations
Yong Rui;Anoop Gupta;Jonathan Grudin,46
Diego Calvanese;Giuseppe De Giacomo;Maurizio Lenzerini;Moshe Y. Vardi,29
Erol Gelenbe,2
Gian Pietro Picco,2
Tuomas Sandholm,100
Michael Wooldridge,16
Frank van Harmelen,12
Mihalis Yannakakis,10
Charles E. Leiserson,1
Kurt Mehlhorn,1
Michael O. Rabin,6
Anil K. Jain,13
Philip A. Bernstein,504
Surajit Chaudhuri;Raghu Ramakrishnan;Gerhard Weikum,107
Jennifer Widom,418
Cyrus Shahabi,28
Raghu Ramakrishnan,4
Lawrence C. Paulson,12
Edward A. Fox,1
Jiawei Han,79
Peter Brusilovsky,126
Christos Faloutsos,1
C. Lee Giles,1
Thomas Hofmann,0
Eric Horvitz,29
George Karypis,408
Ben Shneiderman,544
Jennifer Widom,812
Hector Garcia-Molina,8
Pedro Domingos,5
Rakesh Agrawal,1
W. Bruce Croft,1
Bart Preneel,5
Moti Yung,1
Jiawei Han,3
Dieter Fensel,6
David Poole,33
Dale Miller,46
Divesh Srivastava,2
Jack Dongarra,1
Imrich Chlamtac,7
Raj Jain,4438
Raj Jain,4466
Markus Jakobsson;Ari Juels,97
Luca Cardelli,407
Giuseppe De Giacomo,16
Herbert A. Simon,1
Serge Abiteboul;Moshe Y. Vardi;Victor Vianu,106
Lance Fortnow,19
Lance Fortnow,2
Lance Fortnow,43
Oded Goldreich;Madhu Sudan,8
Georg Gottlob,7
Uriel Feige,192
Uriel Feige,69
Uriel Feige;Joe Kilian,267
Uriel Feige;Adi Shamir,11
Russell Impagliazzo,142
Noam Nisan,43
Noam Nisan,116
Rafail Ostrovsky,40
Christos H. Papadimitriou,9
Avi Wigderson,3
Xiang-Yang Li,32
Xiang-Yang Li,36
Fionn Murtagh,4
Jacques Stern,172
Risto Miikkulainen,23
Daniel Marcu,19
Kathleen McKeown,11
Gerard Salton,23
Andreas Stolcke,1
Lawrence C. Paulson,19
Mihir Bellare,23
Avrim Blum,35
Avrim Blum,0
Avrim Blum;Yishay Mansour,58
Avrim Blum;Ronald L. Rivest,335
Sally Floyd,33
Yoav Freund,1239
Yoav Freund,70
Yoav Freund,55
Yoav Freund,44
Yoav Freund,235
Yoav Freund;Yishay Mansour,28
Yoav Freund;Robert E. Schapire,271
Yoav Freund;Robert E. Schapire,784
David Haussler,9
Tao Jiang;Ming Li,30
Michael I. Jordan,44
Michael L. Littman,0
Yishay Mansour,5
Christos H. Papadimitriou,1
Judea Pearl;Rina Dechter,11
