key	value
daniel_stern	752
daniel_villarreal	753
daniel_von_bargen	754
daniel_webb	755
daniel_wesley	756
daniel_york	757
danny_boyle	758
danny_devito	759
danny_elfman	760
danny_huston	761
danny_kortchmar	762
danny_masterson	763
danny_nucci	764
danny_trejo	765
danny_webb	766
darlene_carr	767
darrell_orydzuk	768
darren_shahlavi	769
darrie_lawrence	770
darryl_chan	771
daryl_hannah	772
daryl_mitchell	773
dash_mihok	774
dato_bakhtadze	775
dave_chappelle	776
dave_foley	777
dave_goelz	778
dave_holmes	779
dave_macintyre	780
dave_thomas	781
dave_tosh	782
daveigh_chase	783
david-barry-gray	784
david-st-james	785
david-warshofsky	786
david_alan_basche	787
david_arneil	788
david_arquette	789
david_brown_jr	790
david_caruso	791
david_christo	792
david_conrad	793
david_cronenberg	794
david_de_lange	795
david_denman	796
david_dorfman	797
david_fincher	798
david_foley	799
david_gianopoulos	800
david_gilbert	801
david_harbour	802
david_hemmings	803
david_kaff	804
david_kasday	805
david_koechner	806
david_kriegel	807
david_krumholtz	808
david_langham	809
david_lislegard	810
david_mamet	811
david_naughton	812
david_o_russell	813
david_ogden_stiers	814
david_paymer	815
david_povall	816
david_proval	817
david_prowse	818
david_r_ellis	819
david_ramsey	820
david_rasche	821
david_raynr	822
david_rudman	823
david_schofield	824
david_schwimmer	825
david_sharpe	826
david_solomini	827
david_steen	828
david_strathairn	829
david_stratton	830
david_suchet	831
david_thewlis	832
david_threlfall	833
david_twohy	834
david_vadim	835
david_zucker	836
davidpatrickohara	837
dawn_addams	838
dawn_collins	839
dean_parisot	840
dean_stockwell	841
debbie_reynolds	842
debi_mazar	843
deborah_bundy	844
deborah_foreman	845
deborah_harry	846
deborah_kara_unger	847
deborah_rush	848
debra_jo_rupp	849
debra_messing	850
debra_monk	851
debra_winger	852
debra_zane	853
del_pentecost	854
delroy_lindo	855
denis-ohare	856
denis_forest	857
denis_lavant	858
denis_lawson	859
denis_leary	860
denise_crosby	861
denise_richards	862
dennis_boutsikaris	863
dennis_e_garber	864
dennis_farina	865
dennis_franz	866
dennis_holahan	867
dennis_hopper	868
dennis_miller	869
dennis_quaid	870
dennis_ross	871
denzel_washington	872
deray_davis	873
derek_jacobi	874
derek_luke	875
derek_mitchell	876
dermot_mulroney	877
desmond_harrington	878
devon_aoki	879
devon_gummersall	880
devoreaux-white	881
dewitt_jennings	882
diabolo	883
diana_lee_inosanto	884
diane_baker	885
diane_delano	886
diane_english	887
diane_keaton	888
diane_kruger	889
diane_sokolow	890
diane_stanley	891
dick_rush	892
dickie_moore	893
diedrich_bader	894
dietrice_a_bolden	895
dina-spybey	896
dina_gardener	897
director-ridley-scott	898
dj_qualls	899
djimon_hounsou	900
dl_hughley	901
domenica_scorsese	902
dominic_colon	903
dominic_sena	904
dominic_west	905
dominique_pinon	906
dominique_swain	907
domiziana_giordano	908
don_adler	909
don_ameche	910
don_bluth	911
don_cheadle	912
don_cornelius	913
don_fischer	914
don_hulbert	915
don_lake	916
don_mckellar	917
don_mcmanus	918
don_rickels	919
don_rickles	920
don_roos	921
don_sparks	922
donal_logue	923
donald_oconnor	924
donald_sutherland	925
donna-bullock	926
donnie_wahlberg	927
dorian_kingi	928
doris_lloyd	929
doris_smith	930
dorothy_patrick	931
doug_hutchinson	932
doug_hutchison	933
doug_jones	934
doug_savant	935
doug_silberstein	936
douglas_fowley	937
dragan_micanovic	938
drake_arden	939
draper_shreeve	940
drew_barrymore	941
duane_lee_chapman_jr	942
duane_martin	943
dule_hill	944
duncan-fraser	945
dustin_bollinger	946
dustin_hoffman	947
dustyn_arthurs	948
duwayne_dunham	949
dwight_h_little	950
dwight_schultz	951
dwight_yoakam	952
dylan-mclaughlin	953
dylan_baker	954
dylan_carusona	955
dylan_mcdermott	956
eamonn_walker	957
earl_c_poitier	958
ed_anders	959
ed_begley_jr	960
ed_bernard	961
ed_geldart	962
ed_harris	963
ed_lauter	964
ed_oneill	965
ed_oross	966
ed_white	967
eddie-redmayne	968
eddie_bo_smith_jr	969
eddie_cibrian	970
eddie_conna	971
eddie_fetherston	972
eddie_fetherstone	973
eddie_griffin	974
eddie_izzard	975
eddie_kaye_thomas	976
eddie_marsan	977
eddie_martinez	978
eddie_murphy	979
eddie_velez	980
edgar_allan_poe_iv	981
edie_falco	982
edie_mcclurg	983
edmund-lyndeck	984
eduardo_noriega	985
edward_bunker	986
edward_burns	987
edward_furlong	988
edward_herrmann	989
edward_jemison	990
edward_norton	991
edward_peil_sr	992
edward_zwick	993
