ingredients,rating
"cherry-brandy,cherry-juice,soda-water,cherry",40
"ice-cubes,cognac,egg-white,lime-juice",10
"crushed-ice,gin,simple-syrup,mint-leaf",20
"ice-cubes,absolut-peppar,tomato-juice,fernet-branca,worcestershire-sauce,hot-sauce",32
"ice-cubes,scotch-whisky,soda-water,lemon",40
"ice-cubes,cognac,black-currant-liqueur,lemon-juice,lemon",40
"ice-cubes,dry-vermouth,light-rum,lime-juice,black-currant-liqueur",10
"ice-cubes,absolut-vodka,dry-vermouth,red-wine",18
"ice-cubes,gin,soda-water,lemon",40
"ice-cubes,absolut-grapevine,ruby-grapefruit-juice,soda-water,lime",50
"ice-cubes,cream-of-coconut,pineapple-juice,amaretto,pineapple",44
"crushed-ice,gin,lemon-juice,maraschino-liqueur,simple-syrup,maraschino-berry,pineapple",30
"ice-cubes,absolut-grapevine,cranberry-juice,lime",50
"ice-cubes,gin,lime-juice,simple-syrup,soda-water,lime",44
"crushed-ice,absolut-vodka,lemon-juice,simple-syrup,soda-water,kiwi",40
"ice-cubes,absolut-vodka,blue-curacao,lemonade",33
"ice-cubes,crushed-ice,light-rum,apricot-brandy,lime-juice,simple-syrup,lime",78
"ice-cubes,spiced-rum,orange-juice,hazelnut-liqueur,cream-of-coconut",40
"ice-cubes,absolut-vodka,grapefruit-juice,triple-sec",40
"ice-cubes,light-rum,apricot-brandy,vermouth-sweet,lemon-juice,grenadine",12
"ice-cubes,gin,apricot-brandy,lemon-juice",40
"ice-cubes,scotch-whisky,light-rum,apricot-brandy,vermouth-sweet",22
"ice-cubes,cognac,raspberry-juice,milk,raspberry",30
"ice-cubes,gin,dubonnet,fernet-branca,orange-curacao,lemon",21
"crushed-ice,absolut-vodka,brown-sugar",50
"ice-cubes,cognac,gin,orange-juice,orange-curacao,orange-bitters",40
"ice-cubes,cognac,soda-water,orange",20
"ice-cubes,ice-tea,orange-curacao,milk,simple-syrup",20
"ice-cubes,gin,dry-vermouth,triple-sec,campari,orange",20
"ice-cubes,gin,simple-syrup,orange-bitters,mint-leaf",30
"ice-cubes,aged-rum-of-cuban-type,lemon-juice,vermouth-sweet",13
"ice-cubes,bourbon-peach-flavored,lemon-juice,lime-juice,orange-curacao,simple-syrup",55
"ice-cubes,absolut-vodka,blue-curacao,lime-juice",41
"ice-cubes,gin,dry-vermouth,banana-liqueur,lemon-juice,pineapple",22
"ice-cubes,absolut-vodka,cranberry-juice,lime-juice,lemon-juice",37
"crushed-ice,absolut-cherrykran,simple-syrup,sherry,lemon-juice,lemon,orange",50
"ice-cubes,gin,lemon-juice,orange-curacao,grenadine,maraschino-berry",43
"ice-cubes,cranberry-juice,lime-juice,orange-juice,simple-syrup,orange-bitters,orange",50
"ice-cubes,absolut-kurant,blue-curacao,lemon-juice,lemon-lime-soda,lemon",38
"ice-cubes,gin,strawberry-liqueur,soda-water,strawberry",10
"ice-cubes,espresso-coffee-cold,vanilla-syrup,water,coffee-bean",50
"ice-cubes,light-rum,cognac,lemon-juice,orgeat-almond-syrup",38
"ice-cubes,absolut-vodka,apricot-brandy,dry-vermouth,bitters",20
"ice-cubes,dry-vermouth,gin,whisky-honey-liqueur-drambuie,bitters",15
"ice-cubes,gin,green-chartreuse,fernet-branca",22
"crushed-ice,absolut-vodka,kiwi-liqueur,simple-syrup,lime,kiwi",30
"ice-cubes,gin,bitters",20
"ice-cubes,gin,orange-juice,benedictine-dom,orange",30
"ice-cubes,aged-rum-of-cuban-type,lime-juice,peach-liqueur,simple-syrup,mint-leaf",45
"ice-cubes,gin,vermouth-sweet,green-chartreuse,orange-bitters",22
"pisco,coconut-liqueur,espresso-coffee-cold",42
