players	count	points
Aaron Brooks,Brent Barry,Ron Artest,Tracy McGrady,Yao Ming	1	2.0
Aaron Brooks,Brent Barry,Ron Artest,Von Wafer,Yao Ming	1	3.0
Aaron Brooks,Brent Barry,Shane Battier,Tracy McGrady,Yao Ming	1	2.0
Aaron Brooks,Brent Barry,Shane Battier,Von Wafer,Yao Ming	3	5.666666666666667
Aaron Brooks,Brian Cook,Chase Budinger,David Andersen,Jermaine Taylor	1	6.0
Aaron Brooks,Brian Cook,Chuck Hayes,Kyle Lowry,Von Wafer	2	3.5
Aaron Brooks,Brian Cook,Jermaine Taylor,Pops Mensah-Bonsu,Trevor Ariza	1	2.0
Aaron Brooks,Carl Landry,Chase Budinger,Chuck Hayes,Kyle Lowry	1	3.0
Aaron Brooks,Carl Landry,Chase Budinger,Chuck Hayes,Trevor Ariza	3	3.3333333333333335
Aaron Brooks,Carl Landry,Chase Budinger,David Andersen,Jermaine Taylor	1	2.0
Aaron Brooks,Carl Landry,Chase Budinger,David Andersen,Kyle Lowry	20	12.35
Aaron Brooks,Carl Landry,Chase Budinger,David Andersen,Shane Battier	5	4.0
Aaron Brooks,Carl Landry,Chase Budinger,David Andersen,Trevor Ariza	5	6.2
Aaron Brooks,Carl Landry,Chase Budinger,David Andersen,Will Conroy	1	9.0
Aaron Brooks,Carl Landry,Chase Budinger,Jermaine Taylor,Joey Dorsey	1	3.0
Aaron Brooks,Carl Landry,Chase Budinger,Joey Dorsey,Kyle Lowry	1	19.0
Aaron Brooks,Carl Landry,Chase Budinger,Joey Dorsey,Shane Battier	1	2.0
Aaron Brooks,Carl Landry,Chase Budinger,Joey Dorsey,Trevor Ariza	2	5.5
Aaron Brooks,Carl Landry,Chase Budinger,Kyle Lowry,Luis Scola	7	7.0
Aaron Brooks,Carl Landry,Chase Budinger,Kyle Lowry,Shane Battier	1	8.0
Aaron Brooks,Carl Landry,Chase Budinger,Kyle Lowry,Trevor Ariza	2	5.5
Aaron Brooks,Carl Landry,Chase Budinger,Luis Scola,Shane Battier	6	5.666666666666667
